user_id,gender,occupation,decades_lived
1,M,technician,20
2,F,other,50
3,M,writer,20
4,M,technician,20
5,F,other,30
6,M,executive,40
7,M,administrator,50
8,M,administrator,30
9,M,student,20
10,M,lawyer,50
11,F,other,30
12,F,other,20
13,M,educator,40
14,M,scientist,40
15,F,educator,40
16,M,entertainment,20
17,M,programmer,30
18,F,other,30
19,M,librarian,40
20,F,homemaker,40
21,M,writer,20
22,M,writer,20
23,F,artist,30
24,F,artist,20
25,M,engineer,30
26,M,engineer,40
27,F,librarian,40
28,M,writer,30
29,M,programmer,40
30,M,student,0
31,M,artist,20
32,F,student,20
33,M,student,20
34,F,administrator,30
35,F,homemaker,20
36,F,student,10
37,M,student,20
38,F,other,20
39,M,entertainment,40
40,M,scientist,30
41,M,engineer,30
42,M,administrator,30
43,F,librarian,20
44,M,technician,20
45,M,programmer,20
46,F,marketing,20
47,M,marketing,50
48,M,administrator,40
49,F,student,20
50,M,writer,20
51,M,educator,20
52,F,student,10
53,M,programmer,20
54,M,executive,20
55,M,programmer,30
56,M,librarian,20
57,M,none,10
58,M,programmer,20
59,M,educator,40
60,M,healthcare,50
61,M,engineer,30
62,F,administrator,20
63,M,marketing,30
64,M,educator,30
65,F,educator,50
66,M,student,20
67,M,student,10
68,M,student,10
69,M,engineer,20
70,M,engineer,20
71,M,scientist,30
72,F,administrator,40
73,M,student,20
74,M,scientist,30
75,M,entertainment,20
76,M,student,20
77,M,technician,30
78,M,administrator,20
79,F,administrator,30
80,F,administrator,30
81,M,student,20
82,M,programmer,50
83,M,other,40
84,M,executive,30
85,M,educator,50
86,M,administrator,20
87,M,administrator,40
88,F,librarian,40
89,F,administrator,40
90,M,educator,60
91,M,marketing,50
92,M,entertainment,30
93,M,executive,40
94,M,student,20
95,M,administrator,30
96,F,artist,20
97,M,artist,40
98,F,executive,40
99,M,student,20
100,M,executive,30
101,M,student,10
102,M,programmer,30
103,M,student,20
104,M,student,20
105,M,engineer,20
106,M,retired,60
107,M,scientist,30
108,M,educator,40
109,M,other,20
110,M,student,10
111,M,engineer,50
112,M,salesman,30
113,M,executive,40
114,M,programmer,20
115,M,engineer,30
116,M,healthcare,40
117,M,student,20
118,M,administrator,20
119,M,programmer,30
120,F,other,40
121,M,librarian,50
122,F,writer,30
123,F,artist,40
124,M,student,30
125,M,lawyer,30
126,F,lawyer,20
127,M,none,30
128,F,marketing,20
129,F,marketing,30
130,M,none,20
131,F,administrator,50
132,M,other,20
133,M,engineer,50
134,M,programmer,30
135,M,student,20
136,M,other,50
137,M,educator,50
138,M,doctor,40
139,M,student,20
140,F,student,30
141,M,programmer,40
142,M,other,10
143,M,technician,40
144,M,programmer,50
145,M,entertainment,30
146,M,artist,40
147,F,librarian,40
148,M,engineer,30
149,F,marketing,30
150,F,artist,20
151,F,administrator,30
152,F,educator,30
153,M,student,20
154,M,student,20
155,F,other,30
156,M,educator,20
157,M,engineer,50
158,M,educator,50
159,F,student,20
160,M,programmer,20
161,M,lawyer,50
162,M,artist,20
163,M,administrator,40
164,M,healthcare,40
165,F,other,20
166,M,educator,40
167,M,other,30
168,M,other,40
169,F,other,50
170,F,healthcare,50
171,F,educator,40
172,M,marketing,50
173,M,other,50
174,F,administrator,30
175,F,scientist,20
176,M,scientist,20
177,M,programmer,20
178,M,other,20
179,M,entertainment,10
180,F,administrator,20
181,M,executive,20
182,M,programmer,30
183,M,scientist,30
184,M,librarian,30
185,F,librarian,50
186,F,executive,30
187,M,educator,20
188,M,student,40
189,M,artist,30
190,M,administrator,30
191,M,administrator,30
192,M,educator,40
193,M,student,20
194,M,administrator,30
195,M,scientist,40
196,M,writer,40
197,M,technician,50
198,F,student,20
199,M,writer,30
200,M,programmer,40
201,M,writer,20
202,F,educator,40
203,F,student,20
204,F,librarian,50
205,M,lawyer,40
206,F,student,10
207,M,marketing,30
208,M,engineer,40
209,F,educator,30
210,M,engineer,30
211,M,salesman,60
212,F,educator,40
213,M,executive,30
214,F,librarian,20
215,M,programmer,30
216,M,engineer,20
217,M,other,20
218,M,administrator,30
219,M,programmer,30
220,M,librarian,30
221,M,student,10
222,M,programmer,20
223,F,student,10
224,F,educator,30
225,F,administrator,50
226,M,student,20
227,M,executive,40
228,F,student,20
229,F,librarian,20
230,F,student,20
231,M,librarian,40
232,M,scientist,40
233,M,engineer,30
234,M,retired,60
235,M,educator,30
236,F,writer,40
237,M,administrator,40
238,F,administrator,40
239,M,artist,30
240,F,educator,20
241,F,student,20
242,M,educator,30
243,M,educator,30
244,M,technician,20
245,M,student,20
246,M,student,10
247,M,engineer,20
248,M,student,20
249,M,student,20
250,M,executive,20
251,M,doctor,20
252,M,engineer,40
253,F,librarian,20
254,M,educator,40
255,M,entertainment,20
256,F,none,30
257,M,student,10
258,F,student,10
259,M,student,20
260,F,artist,40
261,M,administrator,20
262,F,student,10
263,M,programmer,40
264,F,writer,30
265,M,executive,20
266,F,administrator,60
267,M,engineer,20
268,M,engineer,20
269,F,librarian,30
270,F,student,10
271,M,engineer,50
272,M,scientist,30
273,F,other,50
274,F,student,20
275,M,engineer,30
276,M,student,20
277,F,administrator,30
278,F,librarian,30
279,M,programmer,30
280,F,librarian,30
281,F,student,10
282,M,administrator,20
283,M,programmer,20
284,M,executive,40
285,M,programmer,20
286,M,student,20
287,M,salesman,20
288,M,marketing,30
289,M,none,10
290,M,engineer,40
291,M,student,10
292,F,programmer,30
293,M,writer,20
294,M,technician,30
295,M,educator,30
296,F,administrator,40
297,F,educator,20
298,M,executive,40
299,M,doctor,20
300,F,programmer,20
301,M,student,20
302,M,educator,40
303,M,student,10
304,F,student,20
305,M,programmer,20
306,M,other,40
307,M,student,20
308,M,retired,60
309,M,scientist,40
310,M,educator,30
311,M,technician,30
312,M,other,40
313,M,marketing,40
314,F,student,20
315,M,educator,30
316,F,other,40
317,M,administrator,20
318,M,retired,60
319,M,programmer,30
320,M,student,10
321,F,educator,40
322,M,student,20
323,M,student,20
324,F,student,20
325,M,technician,40
326,M,administrator,40
327,M,student,20
328,M,administrator,50
329,M,educator,40
330,F,educator,30
331,M,entertainment,30
332,M,student,20
333,M,other,40
334,M,librarian,30
335,M,executive,40
336,M,salesman,20
337,M,scientist,30
338,F,librarian,30
339,M,lawyer,30
340,M,engineer,40
341,F,student,10
342,F,other,20
343,M,engineer,40
344,F,librarian,30
345,F,librarian,20
346,M,other,30
347,M,student,10
348,F,student,20
349,M,retired,60
350,M,student,30
351,M,educator,60
352,F,programmer,30
353,M,scientist,20
354,F,librarian,20
355,M,student,20
356,F,homemaker,30
357,M,executive,20
358,M,educator,40
359,M,student,20
360,M,other,50
361,M,student,20
362,F,homemaker,30
363,M,student,20
364,M,engineer,60
365,M,lawyer,20
366,F,student,20
367,M,student,10
368,M,student,10
369,M,student,20
370,M,writer,50
371,M,engineer,30
372,F,student,20
373,F,other,20
374,M,executive,30
375,M,entertainment,10
376,F,other,20
377,M,student,20
378,M,student,30
379,M,programmer,40
380,M,engineer,30
381,M,artist,30
382,M,engineer,40
383,M,administrator,40
384,M,programmer,50
385,M,writer,30
386,M,salesman,30
387,M,entertainment,30
388,M,other,30
389,F,writer,40
390,F,writer,40
391,M,student,20
392,M,writer,50
393,M,student,10
394,M,administrator,20
395,M,other,40
396,M,engineer,50
397,M,student,10
398,M,other,40
399,M,other,20
400,F,administrator,30
401,F,healthcare,40
402,M,engineer,30
403,M,other,30
404,F,programmer,20
405,F,healthcare,20
406,M,educator,50
407,M,engineer,20
408,M,student,20
409,M,administrator,40
410,F,artist,30
411,M,educator,30
412,M,educator,20
413,M,educator,50
414,M,programmer,20
415,M,educator,30
416,F,student,20
417,F,other,20
418,F,none,50
419,M,lawyer,30
420,M,educator,50
421,F,programmer,30
422,M,entertainment,20
423,M,other,60
424,F,marketing,30
425,M,student,10
426,M,educator,50
427,M,doctor,50
428,M,student,20
429,M,student,20
430,M,scientist,30
431,M,marketing,20
432,M,entertainment,20
433,M,artist,20
434,F,student,10
435,M,engineer,20
436,F,administrator,30
437,F,other,20
438,F,administrator,50
439,F,administrator,20
440,M,other,30
441,M,technician,50
442,M,student,20
443,M,salesman,30
444,F,lawyer,50
445,M,writer,20
446,M,educator,50
447,M,administrator,30
448,M,entertainment,20
449,M,librarian,20
450,F,educator,30
451,M,student,10
452,M,administrator,30
453,M,student,10
454,M,other,50
455,M,administrator,40
456,M,technician,20
457,F,salesman,30
458,M,technician,40
459,M,student,20
460,F,other,40
461,M,student,10
462,F,student,10
463,F,healthcare,40
464,M,writer,60
465,M,other,30
466,M,student,20
467,M,engineer,20
468,M,engineer,20
469,M,educator,60
470,M,programmer,20
471,M,student,10
472,M,student,20
473,M,student,20
474,M,executive,50
475,M,programmer,30
476,M,student,20
477,F,student,20
478,M,other,20
479,M,educator,30
480,M,retired,50
481,M,retired,70
482,F,student,10
483,M,scientist,20
484,M,student,20
485,F,educator,40
486,M,educator,30
487,M,engineer,20
488,M,technician,40
489,M,other,50
490,F,artist,20
491,F,writer,40
492,M,educator,50
493,M,engineer,20
494,F,administrator,30
495,M,engineer,20
496,F,student,20
497,M,student,20
498,M,writer,20
499,M,programmer,40
500,M,administrator,20
501,M,student,20
502,M,student,20
503,F,writer,50
504,F,writer,40
505,F,other,20
506,M,programmer,40
507,F,writer,10
508,M,marketing,20
509,M,administrator,20
510,M,other,30
511,M,student,20
512,M,other,20
513,M,administrator,40
514,M,programmer,20
515,M,marketing,50
516,F,librarian,50
517,M,student,20
518,F,writer,40
519,M,other,20
520,M,healthcare,60
521,M,student,10
522,M,engineer,30
523,F,administrator,50
524,M,educator,50
525,F,administrator,20
526,M,marketing,30
527,M,librarian,30
528,M,student,10
529,F,administrator,40
530,M,engineer,20
531,F,salesman,30
532,M,student,20
533,M,librarian,40
534,M,student,20
535,F,educator,40
536,M,engineer,30
537,M,engineer,30
538,M,scientist,30
539,F,administrator,50
540,M,engineer,20
541,F,student,10
542,M,student,20
543,M,scientist,30
544,F,other,40
545,M,technician,20
546,M,executive,30
547,M,educator,50
548,M,writer,50
549,M,scientist,40
550,F,student,10
551,M,programmer,20
552,M,other,40
553,M,educator,50
554,M,scientist,30
555,F,educator,20
556,F,educator,30
557,F,writer,30
558,F,writer,50
559,M,executive,60
560,M,student,30
561,M,engineer,20
562,F,administrator,50
563,F,librarian,30
564,M,retired,60
565,M,student,40
566,M,student,20
567,M,entertainment,20
568,M,educator,30
569,M,educator,30
570,M,educator,20
571,M,artist,30
572,M,educator,50
573,M,retired,60
574,M,educator,50
575,M,marketing,30
576,M,executive,40
577,F,student,30
578,M,administrator,30
579,M,educator,30
580,M,student,10
581,M,other,30
582,M,student,10
583,M,engineer,40
584,M,student,20
585,M,librarian,60
586,M,student,20
587,M,other,20
588,F,student,10
589,M,lawyer,20
590,M,educator,50
591,F,librarian,50
592,M,student,10
593,F,educator,30
594,M,educator,40
595,M,programmer,20
596,M,artist,20
597,M,other,20
598,F,marketing,40
599,F,student,20
600,M,programmer,30
601,F,artist,10
602,F,other,40
603,M,programmer,20
604,M,educator,30
605,M,engineer,30
606,M,programmer,20
607,F,healthcare,40
608,M,other,20
609,F,student,10
610,M,student,20
611,M,librarian,40
612,M,educator,30
613,F,marketing,30
614,M,educator,50
615,M,educator,30
616,M,scientist,50
617,F,writer,20
618,F,student,10
619,M,student,10
620,F,writer,10
621,M,student,10
622,M,programmer,20
623,F,educator,50
624,M,student,10
625,M,programmer,20
626,M,scientist,20
627,M,engineer,20
628,M,none,10
629,F,other,40
630,F,healthcare,20
631,F,student,10
632,M,student,10
633,M,programmer,30
634,M,engineer,30
635,M,other,20
636,M,educator,40
637,M,other,30
638,M,engineer,40
639,F,librarian,40
640,M,student,20
641,M,student,20
642,F,student,10
643,M,scientist,30
644,M,retired,50
645,M,programmer,20
646,F,student,10
647,M,educator,40
648,M,engineer,40
649,M,student,20
650,M,engineer,40
651,M,retired,60
652,M,other,30
653,M,executive,30
654,F,student,20
655,F,healthcare,50
656,M,educator,40
657,F,none,20
658,M,programmer,30
659,M,educator,30
660,M,student,20
661,M,programmer,20
662,M,librarian,50
663,M,other,20
664,M,engineer,30
665,M,administrator,20
666,M,administrator,40
667,M,librarian,30
668,F,writer,20
669,M,other,30
670,M,technician,30
671,M,programmer,20
672,F,administrator,50
673,M,educator,50
674,F,student,10
675,M,other,30
676,M,programmer,30
677,M,other,20
678,M,educator,50
679,F,student,20
680,M,lawyer,30
681,F,marketing,40
682,M,programmer,20
683,M,librarian,40
684,M,student,20
685,F,librarian,30
686,M,educator,30
687,F,healthcare,30
688,F,administrator,30
689,M,other,20
690,M,salesman,30
691,M,educator,30
692,M,engineer,30
693,F,healthcare,40
694,M,programmer,60
695,M,writer,20
696,M,other,50
697,M,other,20
698,F,programmer,20
699,M,other,40
700,M,student,10
701,F,librarian,50
702,M,other,30
703,M,educator,20
704,F,librarian,50
705,F,student,20
706,M,student,20
707,F,librarian,50
708,F,homemaker,20
709,M,other,20
710,M,student,10
711,F,student,20
712,F,student,20
713,F,other,40
714,M,engineer,20
715,M,technician,20
716,F,administrator,30
717,M,technician,20
718,M,technician,40
719,F,other,30
720,F,administrator,40
721,F,entertainment,20
722,F,homemaker,50
723,M,executive,20
724,M,executive,30
725,M,student,20
726,F,administrator,20
727,M,student,20
728,M,executive,50
729,M,student,10
730,F,scientist,30
731,F,educator,40
732,F,other,20
733,F,other,40
734,F,other,20
735,F,healthcare,20
736,F,writer,40
737,M,programmer,30
738,M,technician,30
739,M,technician,30
740,F,educator,20
741,M,writer,20
742,M,student,30
743,M,programmer,30
744,M,marketing,30
745,M,writer,40
746,M,engineer,20
747,M,other,10
748,M,administrator,20
749,M,other,30
750,M,administrator,20
751,F,other,20
752,M,retired,60
753,M,salesman,50
754,F,librarian,50
755,F,educator,40
756,F,none,30
757,M,student,20
758,M,student,20
759,F,student,20
760,F,other,30
761,M,student,10
762,M,administrator,30
763,M,scientist,20
764,F,educator,20
765,M,student,30
766,M,other,40
767,M,engineer,70
768,M,administrator,20
769,M,executive,30
770,M,student,20
771,M,student,20
772,M,writer,50
773,M,student,20
774,M,student,30
775,M,executive,40
776,M,librarian,30
777,M,programmer,60
778,M,student,30
779,M,student,30
780,M,programmer,40
781,M,student,20
782,F,artist,20
783,M,marketing,30
784,M,administrator,40
785,M,engineer,30
786,F,engineer,30
787,F,student,10
788,M,administrator,50
789,M,other,20
790,M,technician,20
791,M,educator,30
792,M,programmer,40
793,M,student,20
794,M,educator,30
795,M,programmer,30
796,F,writer,30
797,F,other,40
798,F,writer,40
799,F,administrator,40
800,M,programmer,20
801,M,writer,20
802,M,administrator,30
803,M,administrator,70
804,M,educator,30
805,F,other,20
806,M,marketing,20
807,F,healthcare,40
808,M,salesman,40
809,F,marketing,50
810,F,other,50
811,F,educator,40
812,M,technician,20
813,F,student,10
814,M,other,30
815,M,other,30
816,M,other,30
817,M,student,10
818,M,librarian,20
819,M,administrator,50
820,M,student,20
821,M,engineer,30
822,F,librarian,20
823,M,artist,20
824,M,other,30
825,M,engineer,40
826,M,artist,20
827,F,engineer,20
828,M,librarian,20
829,M,writer,40
830,M,programmer,40
831,M,other,20
832,M,technician,20
833,M,writer,30
834,M,other,20
835,F,executive,40
836,M,artist,40
837,F,artist,30
838,M,student,20
839,F,entertainment,30
840,M,artist,30
841,M,doctor,40
842,M,writer,40
843,M,librarian,30
844,M,engineer,20
845,M,doctor,60
846,M,lawyer,20
847,M,student,20
848,M,engineer,40
849,F,student,10
850,M,technician,30
851,M,other,10
852,M,administrator,40
853,M,writer,40
854,F,student,20
855,M,librarian,50
856,F,marketing,40
857,F,administrator,30
858,M,educator,60
859,F,other,10
860,F,retired,70
861,F,student,30
862,M,executive,20
863,M,student,10
864,M,programmer,20
865,M,artist,20
866,M,other,40
867,M,scientist,20
868,M,programmer,20
869,M,student,30
870,M,student,20
871,M,executive,30
872,F,student,10
873,F,administrator,40
874,M,scientist,30
875,F,student,20
876,M,other,40
877,M,other,30
878,F,educator,50
879,F,administrator,30
880,M,student,10
881,M,marketing,30
882,M,engineer,30
883,M,librarian,40
884,M,engineer,40
885,F,other,30
886,M,student,20
887,F,student,10
888,M,scientist,40
889,M,technician,20
890,M,student,30
891,F,administrator,50
892,M,other,30
893,M,student,20
894,M,educator,40
895,F,librarian,30
896,M,writer,20
897,M,other,30
898,M,homemaker,20
899,M,other,30
900,M,retired,60
901,M,executive,30
902,F,artist,40
903,M,educator,20
904,F,student,10
905,M,other,20
906,M,librarian,40
907,F,other,20
908,F,librarian,40
909,F,educator,50
910,M,healthcare,20
911,F,writer,30
912,M,other,50
913,M,student,20
914,F,other,40
915,M,entertainment,50
916,M,engineer,20
917,F,student,20
918,M,scientist,40
919,M,other,20
920,F,artist,30
921,F,student,20
922,F,administrator,20
923,M,student,20
924,M,other,20
925,F,salesman,10
926,M,entertainment,40
927,M,programmer,20
928,M,student,20
929,M,scientist,40
930,F,scientist,20
931,M,educator,60
932,M,educator,50
933,M,student,20
934,M,engineer,60
935,M,doctor,40
936,M,other,20
937,M,educator,40
938,F,technician,30
939,F,student,20
940,M,administrator,30
941,M,student,20
942,F,librarian,40
943,M,student,20
